eid,index,afid,name,domain,url,variants
10-s2.0-113966258,20362,113966258,World Resources Institute,,,"['World Resources Institute', 'World Resources Institute Brazil', 'World Resources Institute-brasil']"
10-s2.0-124510368,20363,124510368,UN Department of Peacekeeping Operations,,,['Un Department Of Peacekeeping Operations']
10-s2.0-101026985,20364,101026985,Santo André,,,"['Santo André', 'Santo André Ii Clinical Center', 'Santo André Foundation', 'Centro Santo Andre', 'The Santo André Foundation’s University Center (cufsa)', 'Santo André Health Secretary', 'Municipality Of Santo André', 'Centro Hospitalar De Santo André', 'Abc Faculty Santo André']"
10-s2.0-122986135,20365,122986135,Faculty of Education in UNICAMP,,,['Faculty Of Education In Unicamp']
10-s2.0-122696607,20366,122696607,Centro de Estudios de Previdencia Social,,,['Centro De Estudios De Previdencia Social']
10-s2.0-113111087,20367,113111087,School of Medicine of University Gama Filho,,,"['University Gama Filho In Rio De Janeiro', 'School Of Medicine Of University Gama Filho', 'Gama Filho University']"
10-s2.0-127182961,20368,127182961,International Relations Department,,,['International Relations Department']
10-s2.0-127182987,20369,127182987,International Relations Department,,,['International Relations Department']
10-s2.0-129612459,20370,129612459,Federal University,,,"['Federal University', 'Federal Institute / Federal University']"
10-s2.0-117642665,20371,117642665,Alto Comissariado da ONU para Refugiados-ACNUR (2015),,,['Alto Comissariado Da Onu Para Refugiados-acnur (2015)']
10-s2.0-112781136,20372,112781136,Fundação de Amparo à Pesquisa do Estado de São Paulo,,,[]
10-s2.0-119922999,20374,119922999,Técnico Judiciário - Área de TI - do Tribunal de Justiça do Estado de Rondônia (TJRO),,,['Técnico Judiciário - Área De Ti - Do Tribunal De Justiça Do Estado De Rondônia (tjro)']
10-s2.0-130438689,20373,130438689,Faculdade de Educação Física de Santos,,,['Faculdade De Educação Física De Santos']
10-s2.0-112817794,20375,112817794,Faculdade Interamericana de Porto Velho,,,"['Faculdade Interamericana De Porto Velho', 'Faculdade Porto Velho (porto)']"
10-s2.0-106031458,20376,106031458,Secretaria de Saúde do Estado do Espírito Santo,,,[]
10-s2.0-119159576,20377,119159576,Universidad Federal de Integración Latinoamericana,,,['Universidad Federal De Integración Latinoamericana']
10-s2.0-109959198,20378,109959198,Casa das Garças Institute of Economic Policy Studies,,,"['Institute For Economic Policy Research-casa Das Garcas', 'Casa Das Garças Institute Of Economic Policy Studies', 'Institute Of Economic Policy Studies Casa Das Garças', 'Casa Das Garças Institute For Economic Policy Studies']"
10-s2.0-119051339,20381,119051339,Coordinacion de Educacion Ambiental de la Secretaría de Medio Ambiente Del Estado de São Paulo,,,['Coordinacion De Educacion Ambiental De La Secretaría De Medio Ambiente Del Estado De São Paulo']
10-s2.0-118782270,20382,118782270,Museum of Astronomy and Related Sciences,,,['Museum of Astronomy and Related Sciences']
10-s2.0-118780397,20383,118780397,Center for Documentation of Armed Movements (CeDeMA),,,['Center for Documentation of Armed Movements (CeDeMA)']
10-s2.0-118690419,20384,118690419,Deutsche Post DHL,,,['Deutsche Post DHL']
